full_name,"time played","Value (M)"
"Stephan Lichtsteiner","267 Mins",8.5
"Willy Caballero","180 Mins",3
"Vincent Kompany","376 Mins",26
"Javier Mascherano","360 Mins",10.5
"Igor Akinfeev","510 Mins",7.5
"Mario Gómez","88 Mins",20
"Héctor Herrera","360 Mins",14
"Andreas Granqvist","450 Mins",8.5
"Lionel Messi","360 Mins",105
"Oribe Peralta","1 Mins",4.8
"Lucas Biglia","54 Mins",17.5
"Michael Krohn-Dehli","22 Mins",6.5
"Valon Behrami","311 Mins",5
"Karim El Ahmadi","266 Mins",11
"Kasper Schmeichel","390 Mins",19
"Steve Mandanda","90 Mins",12.5
"Gary Cahill","90 Mins",21
"Łukasz Fabiański","90 Mins",8.5
"Jakub Błaszczykowski","45 Mins",7
"Brad Jones","0 Mins",2.1
"Manuel Neuer","270 Mins",61
"Gonzalo Higuaín","132 Mins",77
"Hugo Lloris","540 Mins",38
"Ivan Rakitić","638 Mins",48.5
"Carlos Vela","315 Mins",22.5
"Danny Rose","203 Mins",21
"Giovani dos Santos","13 Mins",13
"Jonathan dos Santos","35 Mins",16.5
"Blaise Matuidi","336 Mins",28.5
"Andrés Guardado","307 Mins",13.5
"Jan Vertonghen","540 Mins",28.5
"Victor Moses","270 Mins",12.5
"Cristian Ansaldi","0 Mins",9
"Simon Mignolet","0 Mins",12
"Héctor Moreno","270 Mins",11.5
"Łukasz Piszczek","173 Mins",14.5
"Dries Mertens","298 Mins",43
"David Ospina","390 Mins",9
"Luis Suárez","450 Mins",97
"Marouane Fellaini","316 Mins",12
"Bryan Ruíz","270 Mins",8
"Luka Modrić","694 Mins",57
"Medhi Benatia","180 Mins",23
"Nabil Dirar","180 Mins",7
"Yann Sommer","360 Mins",21
"Kamil Grosicki","213 Mins",7.5
"Miguel Layún","314 Mins",8
"Branislav Ivanović","180 Mins",9
"Olivier Giroud","546 Mins",21.5
"Éver Banega","216 Mins",25.5
"Mats Hummels","180 Mins",48
"Simon Kjær","390 Mins",16
"Edinson Cavani","343 Mins",48.5
"Sami Khedira","118 Mins",29
"Federico Fazio","45 Mins",16.5
"Makoto Hasebe","278 Mins",3.6
"Albin Ekdal","421 Mins",8
"Ivan Perišić","632 Mins",31.5
"Mario Mandžukić","608 Mins",23.5
"Vedran Ćorluka","119 Mins",15
"Antonio Rukavina","97 Mins",3.4
"Diego Godín","450 Mins",40
"Fernando Muslera","450 Mins",13.5
"Martín Cáceres","450 Mins",6.5
"Toni Kroos","270 Mins",79
"Carlos Sánchez","172 Mins",6
"Carlos Sánchez","123 Mins",6
"Nordin Amrabat","256 Mins",12
"Eden Hazard","518 Mins",90.5
"Adil Rami","0 Mins",12
"Fabian Delph","220 Mins",10
"Jordan Henderson","482 Mins",21.5
"Gabriel Mercado","270 Mins",5.5
"Ángel Di María","237 Mins",37.5
"Jérôme Boateng","172 Mins",48
"Toby Alderweireld","540 Mins",40.5
"Mehdi Carcela-González","15 Mins",9
"Gylfi Sigurðsson","270 Mins",23
"Michael Lang","101 Mins",9
"Michał Pazdan","170 Mins",6
"Aleksandar Kolarov","270 Mins",8
"Danny Welbeck","11 Mins",17.5
"Wojciech Szczęsny","180 Mins",18
"Marco Fabián","25 Mins",13
"Kieran Trippier","576 Mins",10
"Keisuke Honda","47 Mins",9
"Cheikhou Kouyaté","118 Mins",8.5
"Igor Smolnikov","36 Mins",10
"Fedor Smolov","219 Mins",17.5
"Artem Dzyuba","333 Mins",10.5
"Alan Dzagoev","42 Mins",16.5
"Steven N'Zonzi","141 Mins",21
"Marco Reus","210 Mins",45
"Kyle Walker","495 Mins",24
"Robert Lewandowski","270 Mins",92
"Alfred N'Diaye","152 Mins",10
"Kevin Trapp","0 Mins",18.5
"Sebastian Rudy","31 Mins",20
"Shinji Kagawa","232 Mins",26
"Thiago Alcântara","94 Mins",70.5
"Christian Eriksen","390 Mins",65
"Adem Ljajić","170 Mins",16
"Kamil Glik","100 Mins",30
"Eduardo Salvio","146 Mins",16
"Nemanja Matić","270 Mins",21
"Yūya Ōsako","308 Mins",10.5
"Thibaut Courtois","630 Mins",59
"Javier Aquino","0 Mins",9.5
"Nicolás Otamendi","360 Mins",20
"Marc-André ter Stegen","0 Mins",35.5
"Romelu Lukaku","476 Mins",59
"Danijel Subašić","630 Mins",22
"Koen Casteels","0 Mins",9
"Kevin De Bruyne","540 Mins",83
"Keylor Navas","270 Mins",24.5
"Juan Cuadrado","331 Mins",21.5
"Alphonse Areola","0 Mins",13
"Jesús Corona","0 Mins",23
"Martin Braithwaite","249 Mins",11
"Xherdan Shaqiri","351 Mins",28
"Ricardo Rodríguez","360 Mins",18.5
"Idrissa Gueye","270 Mins",24.5
"Younès Belhanda","228 Mins",18.5
"Pontus Jansson","95 Mins",9
"Shinji Okazaki","67 Mins",8
"Antoine Griezmann","570 Mins",75
"Phil Jones","180 Mins",12.5
"Aaron Mooy","270 Mins",10.5
"Dejan Lovren","651 Mins",17.5
"Alfreð Finnbogason","264 Mins",8
"Paul Pogba","539 Mins",66.5
"Enzo Pérez","195 Mins",9
"Grzegorz Krychowiak","270 Mins",17.5
"Sebastián Coates","90 Mins",18
"Óscar Murillo","90 Mins",6
"James Rodríguez","152 Mins",56
"Luis Muriel","91 Mins",18.5
"Dušan Tadić","263 Mins",15
"Anthony Lopes","0 Mins",22.5
"Granit Xhaka","360 Mins",27.5
"John Guidetti","37 Mins",13.5
"Nicolai Jørgensen","212 Mins",15.5
"Nacer Chadli","327 Mins",11
"Łukasz Teodorczyk","29 Mins",12.5
"Kalidou Koulibaly","270 Mins",32.5
"Djibril Sidibé","90 Mins",13
"Milan Badelj","103 Mins",10.5
"Raphaël Varane","630 Mins",46.5
"Ahmed Musa","207 Mins",10.5
"Marcos Rojo","225 Mins",21
"Salif Sané","270 Mins",12.5
"Harry Kane","573 Mins",59
"Julian Draxler","135 Mins",39.5
"Eric Dier","248 Mins",25
"Thomas Meunier","450 Mins",18.5
"Raheem Sterling","454 Mins",29.5
"Jannik Vestergaard","0 Mins",14.5
"Jack Butland","0 Mins",18
"Harry Maguire","645 Mins",10.5
"André Carrillo","259 Mins",10.5
"Thorgan Hazard","97 Mins",19.5
"John Stones","645 Mins",14.5
"Šime Vrsaljko","607 Mins",13.5
"M'Baye Niang","247 Mins",14.5
"Santiago Arias","386 Mins",9
"Michy Batshuayi","113 Mins",20
"Raúl Ruidíaz","13 Mins",9
"Joel Campbell","113 Mins",11
"Raúl Jiménez","54 Mins",12.5
"Benjamin Mendy","40 Mins",13
"Jordan Pickford","690 Mins",10
"Florian Thauvin","1 Mins",28
"Takashi Inui","292 Mins",10
"Arkadiusz Milik","73 Mins",18
"Carlos Sánchez","172 Mins",6.5
"Carlos Sánchez","123 Mins",6.5
"Samuel Umtiti","540 Mins",29.5
"Denis Cheryshev","304 Mins",12
"Luka Milivojević","171 Mins",9.5
"Kepa Arrizabalaga","0 Mins",15.5
"Mateo Kovačić","183 Mins",30
"Jesse Lingard","527 Mins",13
"Carlos Bacca","90 Mins",21.5
"Yussuf Poulsen","269 Mins",11
"Matthias Ginter","0 Mins",11.5
"Romain Saïss","180 Mins",7.5
"Adnan Januzaj","86 Mins",12.5
"Jonas Hector","165 Mins",14
"Yannick Carrasco","239 Mins",51.5
"Emil Forsberg","417 Mins",31.5
"Filip Kostić","167 Mins",14
"Hakim Ziyech","265 Mins",23
"Sadio Mané","270 Mins",39
"Jamie Vardy","157 Mins",17
"Mohamed Salah","180 Mins",32.5
"Leon Goretzka","63 Mins",30
"Raphaël Guerreiro","360 Mins",24
"Piotr Zieliński","259 Mins",20.5
"Paulo Dybala","22 Mins",79
"Dele Alli","364 Mins",43
"Paolo Hurtado","27 Mins",8.5
"Nicolás Tagliafico","350 Mins",14
"Timo Werner","266 Mins",30.5
"Julian Brandt","19 Mins",22
"Leander Dendoncker","90 Mins",15
"Joshua Kimmich","270 Mins",20.5
"Óscar Duarte","180 Mins",7
"Mohamed Elneny","244 Mins",10
"Roman Zobnin","510 Mins",10.5
"Diego Laxalt","301 Mins",13.5
"Thomas Lemar","90 Mins",38.5
"Andreas Christensen","306 Mins",23
"Sardar Azmoun","270 Mins",13.5
"Franco Armani","180 Mins",5.5
"Youssouf Sabaly","254 Mins",9.5
"N'Golo Kanté","595 Mins",52.5
"Tin Jedvaj","90 Mins",10
"Marcelo Brozović","458 Mins",23
"Andrej Kramarić","332 Mins",22
"Youri Tielemans","175 Mins",23.5
"Nabil Fekir","69 Mins",28
"José Izquierdo","70 Mins",13
"Corentin Tolisso","194 Mins",30.5
"Matias Vecino","416 Mins",13
"Andrija Živković","15 Mins",14
"Davinson Sánchez","390 Mins",21.5
"Lucas Hernández","590 Mins",13.5
"Erick Gutiérrez","0 Mins",11
"Lovre Kalinić","90 Mins",7
"Hirving Lozano","317 Mins",14.5
"Breel Embolo","134 Mins",14
"Sergej Milinković-Savić","270 Mins",20
"Marcos Acuña","90 Mins",16
"Martín Campaña","0 Mins",11
"Presnel Kimpembe","90 Mins",12
"Kasper Dolberg","15 Mins",16.5
"Yoshinori Mutō","82 Mins",10.5
"Marko Pjaca","82 Mins",12.5
"Andrey Lunev","0 Mins",9
"Ousmane Dembélé","165 Mins",40
"Marcus Rashford","211 Mins",22
"Kylian Mbappé","534 Mins",41.5
